
--- Job Balmorel.gms Start 09/03/20 18:06:27 26.1.0 rf2b37b9 WEX-WEI x86 64bit/MS Windows
GAMS 26.1.0   Copyright (C) 1987-2019 GAMS Development. All rights reserved
Licensee: Small MUD - 5 User License                     S190709/0001AO-WIN
          TU Wien, Energy Economics Group                           DC14452
          License for teaching and research at degree granting institutions
          License Admin: Albert Hiesl, hiesl@eeg.tuwien.ac.at              
--- ... ../data/DEFP_BASE.inc(33) 4 Mb
--- .. ../../base/model/bb4datainc.inc(613) 4 Mb
--- ... ../data/DHFP_BASE.inc(57) 4 Mb
--- .. ../../base/model/bb4datainc.inc(619) 4 Mb
--- ... ../../base/data/GKF_LO.inc(4) 4 Mb
--- .. ../../base/model/bb4datainc.inc(631) 4 Mb
--- ... ../data/DE.inc(126) 4 Mb
--- .. ../../base/model/bb4datainc.inc(640) 4 Mb
--- ... ../data/DH.inc(174) 4 Mb
--- .. ../../base/model/bb4datainc.inc(650) 4 Mb
--- ... ../data/XINVCOST.inc(88) 4 Mb
--- .. ../../base/model/bb4datainc.inc(655) 4 Mb
--- ... ../data/XKFX.inc(148) 4 Mb
--- .. ../../base/model/bb4datainc.inc(660) 4 Mb
--- ... ../data/XCOST.inc(49) 4 Mb
--- .. ../../base/model/bb4datainc.inc(665) 4 Mb
--- ... ../data/XLOSS.inc(60) 4 Mb
--- .. ../../base/model/bb4datainc.inc(672) 4 Mb
--- ... ../data/XKRATE.inc(5) 4 Mb
--- .. ../../base/model/bb4datainc.inc(677) 4 Mb
--- ... ../data/XMAXINV.inc(46) 4 Mb
--- .. ../../base/model/bb4datainc.inc(687) 4 Mb
--- ... ../data/FUELPRICE.inc(163) 4 Mb
--- .. ../../base/model/bb4datainc.inc(697) 4 Mb
--- ... ../data/M_POL.inc(400) 4 Mb
--- .. ../../base/model/bb4datainc.inc(715) 4 Mb
--- ... ../data/WEIGHT_S.inc(7) 4 Mb
--- .. ../../base/model/bb4datainc.inc(720) 4 Mb
--- ... ../data/WEIGHT_T.inc(8) 4 Mb
--- .. ../../base/model/bb4datainc.inc(725) 4 Mb
--- ... ../data/CHRONOHOUR.inc(4) 4 Mb
--- .. ../../base/model/bb4datainc.inc(730) 4 Mb
--- ... ../data/GKRATE.inc(60) 4 Mb
--- .. ../../base/model/bb4datainc.inc(735) 4 Mb
--- ... ../data/DE_VAR_T.inc(26220) 14 Mb
--- .. ../../base/model/bb4datainc.inc(740) 14 Mb
--- ... ../data/DH_VAR_T.inc(8800) 22 Mb
--- .. ../../base/model/bb4datainc.inc(745) 22 Mb
--- ... ../data/WTRRSVAR_S.inc(90) 22 Mb
--- .. ../../base/model/bb4datainc.inc(750) 22 Mb
--- ... ../data/WTRRRVAR_T.inc(72) 22 Mb
--- .. ../../base/model/bb4datainc.inc(755) 22 Mb
--- ... ../data/WND_VAR_T.inc(9462) 33 Mb
--- .. ../../base/model/bb4datainc.inc(760) 33 Mb
--- ... ../data/SOLE_VAR_T.inc(8749) 37 Mb
--- .. ../../base/model/bb4datainc.inc(765) 37 Mb
--- ... ../data/SOLH_VAR_T.inc(8745) 37 Mb
--- .. ../../base/model/bb4datainc.inc(770) 37 Mb
--- ... ../data/WAVE_VAR_T.inc(3) 37 Mb
--- .. ../../base/model/bb4datainc.inc(775) 37 Mb
--- ... ../data/X3FX.inc(29) 37 Mb
--- .. ../../base/model/bb4datainc.inc(780) 37 Mb
--- ... ../data/X3FX_VAR_T.inc(8751) 37 Mb
--- .. ../../base/model/bb4datainc.inc(785) 37 Mb
--- ... ../data/HYPPROFILS.inc(18) 37 Mb
--- .. ../../base/model/bb4datainc.inc(802) 37 Mb
--- ... ../data/YMODEL.inc(6) 37 Mb
--- .. ../../base/model/bb4datainc.inc(804) 37 Mb
--- ... ../data/YMODELDELTA.inc(6) 37 Mb
--- .. ../../base/model/bb4datainc.inc(820) 37 Mb
--- ... ../data/OMONEY.inc(2) 37 Mb
--- .. ../../base/model/bb4datainc.inc(825) 37 Mb
--- ... ../data/PENALTYQ.inc(5) 37 Mb
--- .. ../../base/model/bb4datainc.inc(833) 37 Mb
--- ... ../../base/addons/_hooks/pardefine.inc(36) 37 Mb
--- .. ../../base/model/bb4datainc.inc(835) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(596) 37 Mb
--- .. ../../base/addons/_hooks/isetdecdef.inc(24) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(622) 37 Mb
--- .. ../../base/addons/_hooks/pardeclare.inc(29) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(1023) 37 Mb
--- .. ../../base/addons/_hooks/ipardecdef.inc(22) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(1143) 37 Mb
--- .. ../../base/output/printout/printinc/print1.inc(353) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(1148) 37 Mb
--- .. ../../base/logerror/logerinc/error2.inc(1119) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(1179) 37 Mb
--- .. ../../base/addons/_hooks/reducecard.inc(4) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(1274) 37 Mb
--- .. ../../base/addons/_hooks/vardeclare.inc(33) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(1504) 37 Mb
--- .. ../../base/addons/_hooks/qobj.inc(36) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(1536) 37 Mb
--- .. ../../base/addons/_hooks/qeeq.inc(24) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(1553) 37 Mb
--- .. ../../base/addons/_hooks/qheq.inc(22) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(1568) 37 Mb
--- .. ../../base/addons/_hooks/qgfeq.inc(20) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(1645) 37 Mb
--- .. ../../base/addons/_hooks/qhyrsseq.inc(8) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(1656) 37 Mb
--- .. ../../base/addons/_hooks/qhyrsminvol.inc(8) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(1668) 37 Mb
--- .. ../../base/addons/_hooks/qhyrsmaxvol.inc(8) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(1683) 37 Mb
--- .. ../../base/addons/_hooks/qhymaxg.inc(8) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(1695) 37 Mb
--- .. ../../base/addons/_hooks/qestovolt.inc(8) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(1708) 37 Mb
--- .. ../../base/addons/_hooks/qestovolts.inc(8) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(1718) 37 Mb
--- .. ../../base/addons/_hooks/qhstovolt.inc(8) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(1731) 37 Mb
--- .. ../../base/addons/_hooks/qhstovolts.inc(8) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(1908) 37 Mb
--- .. ../../base/addons/_hooks/qkefuelc.inc(8) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(1919) 37 Mb
--- .. ../../base/addons/_hooks/qkefuelr.inc(8) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(1930) 37 Mb
--- .. ../../base/addons/_hooks/qkefuela.inc(8) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(1983) 37 Mb
--- .. ../../base/addons/_hooks/qgeqcf.inc(8) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(2000) 37 Mb
--- .. ../../base/addons/_hooks/qgeqrf.inc(8) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(2017) 37 Mb
--- .. ../../base/addons/_hooks/qgeqaf.inc(8) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(2140) 37 Mb
--- .. ../../base/addons/_hooks/qktechgroupc.inc(8) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(2151) 37 Mb
--- .. ../../base/addons/_hooks/qktechgroupr.inc(8) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(2162) 37 Mb
--- .. ../../base/addons/_hooks/qktechgroupa.inc(8) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(2215) 37 Mb
--- .. ../../base/addons/_hooks/qxk_up.inc(8) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(2226) 37 Mb
--- .. ../../base/addons/_hooks/qxknaccumnet.inc(8) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(2293) 37 Mb
--- .. ../../base/addons/_hooks/qgknaccumgross.inc(8) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(2309) 37 Mb
--- .. ../../base/addons/_hooks/qgknaccumnet.inc(9) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(2334) 37 Mb
--- .. ../../base/addons/_hooks/qgke_up.inc(8) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(2344) 37 Mb
--- .. ../../base/addons/_hooks/qgkh_up.inc(8) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(2455) 37 Mb
--- .. ../../base/addons/_hooks/eqndecdef.inc(30) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(2614) 37 Mb
--- .. ../../base/addons/_hooks/balbase4.inc(21) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(2650) 37 Mb
--- .. ../../base/addons/_hooks/error2.inc(15) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(2651) 37 Mb
--- .. ../../base/addons/BB4/errorBB4.inc(62) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(2678) 37 Mb
--- .. ../../base/addons/BB4/BB4overview.inc(114) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(2683) 37 Mb
--- .. ../../base/model/Balmorelbb4.sim(250) 37 Mb
--- ... ../../base/addons/_hooks/sim.inc(26) 37 Mb
--- .. ../../base/model/Balmorelbb4.sim(251) 37 Mb
--- ... ../../base/addons/_hooks/varloupfx.inc(8) 37 Mb
--- .. ../../base/model/Balmorelbb4.sim(300) 37 Mb
--- ... ../../base/addons/_hooks/solveend.inc(17) 37 Mb
--- .. ../../base/model/Balmorelbb4.sim(305) 37 Mb
--- ... ../../base/logerror/logerinc/balbase4.mss(120) 37 Mb
--- .. ../../base/model/Balmorelbb4.sim(341) 37 Mb
--- ... ../../base/addons/BB4/errorBB4.inc(62) 37 Mb
--- .. ../../base/model/Balmorelbb4.sim(369) 37 Mb
--- ... ../../base/addons/_hooks/varassign.inc(4) 37 Mb
--- .. ../../base/model/Balmorelbb4.sim(392) 37 Mb
--- . ../../base/model/Balmorelbb4.inc(2748) 37 Mb
--- Balmorel.gms(3225) 37 Mb
--- . ../../base/addons/_hooks/endofmodel_post.inc(5) 37 Mb
--- .. ../../base/addons/all_endofmodelgdx/all_endofmodelgdx.inc(59) 37 Mb
--- . ../../base/addons/_hooks/endofmodel_post.inc(5) 37 Mb
--- Balmorel.gms(3305) 37 Mb
--- . ../../base/output/OUTPUT_SUMMARY.inc(704) 37 Mb
--- Balmorel.gms(3312) 37 Mb
--- Starting execution: elapsed 0:00:01.532
--- Balmorel.gms(962) 38 Mb
--- Balmorel.gms(965) 38 Mb
--- Balmorel.gms(78717) 102 Mb
--- GDX File C:\Users\schoeniger\Documents\Balmorel\Github Aug 2020\Austria Base Github kompatibel\model\../output/temp/IWEIGHTY.gdx
--- Balmorel.gms(79152) 102 Mb
--- Balmorel.gms(80189) 105 Mb
--- GDX File C:\Users\schoeniger\Documents\Balmorel\Github Aug 2020\Austria Base Github kompatibel\output\inputout\INPUTDATAOUT.gdx
--- Balmorel.gms(80262) 105 Mb
--- GDX File C:\Users\schoeniger\Documents\Balmorel\Github Aug 2020\Austria Base Github kompatibel\model\../output/temp/1INPUT.gdx
--- Balmorel.gms(82225) 130 Mb
--- Generating LP model BALBASE4
--- Balmorel.gms(80492) 144 Mb  3 secs
--- Balmorel.gms(82473) 494 Mb
--- LOOPS IYALIAS = 2030
---   987,325 rows  1,485,173 columns  3,319,889 non-zeroes
--- Executing CPLEX: elapsed 0:00:15.028

IBM ILOG CPLEX   26.1.0 rf2b37b9 Released Feb 02, 2019 WEI x86 64bit/MS Window
--- GAMS/Cplex Link licensed for continuous and discrete problems.
Cplex 12.8.0.0

*** Error Cannot open parameter file "C:\Users\schoeniger\Documents\Balmorel\Github Aug 2020\Austria Base Github kompatibel\model\cplex.op6"
*** Error Error code = 2; No such file or directory
Reading data...
Starting Cplex...
Space for names approximately 168.77 Mb
Use option 'names no' to turn use of names off
CPXPARAM_Advance                                 0
CPXPARAM_Simplex_Limits_Iterations               2000000000
CPXPARAM_TimeLimit                               1209600
CPXPARAM_Threads                                 1
CPXPARAM_Parallel                                1
CPXPARAM_Tune_TimeLimit                          241920
Tried aggregator 1 time.
LP Presolve eliminated 506798 rows and 576780 columns.
Aggregator did 331968 substitutions.
Reduced LP has 148559 rows, 576425 columns, and 1179061 nonzeros.
Presolve time = 2.09 sec. (1292.98 ticks)
Initializing dual steep norms . . .

Iteration log . . .
Iteration:     1   Dual objective     =    1575234385.886355
Iteration:  1198   Dual objective     =    1587134351.626976
Iteration:  2200   Dual objective     =    1603589259.402644
Iteration:  3305   Dual objective     =    1629248704.508652
Iteration:  4209   Dual objective     =    1990798888.639745
Iteration:  4959   Dual objective     =    2106385687.629118
Iteration:  5656   Dual objective     =    2264953325.167761
Iteration:  7331   Dual objective     =    2530661349.252737
Iteration:  8203   Dual objective     =    2594275645.676975
Iteration:  9060   Dual objective     =    2649728521.147916
Iteration:  9931   Dual objective     =    2708379566.870167
Iteration: 10782   Dual objective     =    2746261047.946486
Iteration: 11544   Dual objective     =    2781628178.395345
Iteration: 12318   Dual objective     =    2799165390.098435
Iteration: 13173   Dual objective     =    2815272018.307486
Iteration: 13996   Dual objective     =    2827842503.013937
Iteration: 14825   Dual objective     =    2836634634.243555
Iteration: 15654   Dual objective     =    2840238225.949869
Iteration: 16463   Dual objective     =    2842409848.129169
Iteration: 17311   Dual objective     =    2844572839.151890
Iteration: 18125   Dual objective     =    2845872411.381601
Iteration: 18984   Dual objective     =    2847597677.528677
Iteration: 19762   Dual objective     =    2851787959.917287
Iteration: 20459   Dual objective     =    2853964106.658724
Iteration: 21322   Dual objective     =    2855884667.883256
Iteration: 22173   Dual objective     =    2857787642.814442
Iteration: 22972   Dual objective     =    2859495393.154636
Iteration: 23904   Dual objective     =    2861589828.929751
Iteration: 24797   Dual objective     =    2863613650.815651
Iteration: 25623   Dual objective     =    2864750212.816772
Perturbation started.
Iteration: 25958   Dual objective     =    2864750398.778347
Iteration: 26796   Dual objective     =    2865825009.484838
Iteration: 27256   Dual objective     =    2866339001.869730
Iteration: 28986   Dual objective     =    2868096711.710244
Iteration: 29655   Dual objective     =    2868862447.178670
Iteration: 30208   Dual objective     =    2869503779.726423
Iteration: 31626   Dual objective     =    2871010767.267461
Iteration: 32444   Dual objective     =    2871529730.522845
Iteration: 33277   Dual objective     =    2871669102.268665
Iteration: 34390   Dual objective     =    2871847817.141943
Iteration: 35401   Dual objective     =    2872148274.257530
Iteration: 35842   Dual objective     =    2872930097.578081
Iteration: 37111   Dual objective     =    2874445275.682070
Iteration: 38901   Dual objective     =    2877056279.732381
Iteration: 40209   Dual objective     =    2882013515.488884
Iteration: 41876   Dual objective     =    2889046361.938403
Iteration: 43611   Dual objective     =    2893467441.323123
Iteration: 45195   Dual objective     =    2894744938.232486
Iteration: 45855   Dual objective     =    2895109814.222565
Iteration: 47133   Dual objective     =    2895451899.731269
Iteration: 47739   Dual objective     =    2895547620.489199
Iteration: 49114   Dual objective     =    2896018694.956061
Iteration: 50473   Dual objective     =    2896193083.218099
Iteration: 51566   Dual objective     =    2896246715.118971
Iteration: 52392   Dual objective     =    2896295111.879027
Iteration: 53592   Dual objective     =    2896421947.508942
Iteration: 55230   Dual objective     =    2896704514.157485
Iteration: 56115   Dual objective     =    2896853775.091022
Iteration: 57541   Dual objective     =    2897080301.082153
Iteration: 59055   Dual objective     =    2897281990.677324
Iteration: 59785   Dual objective     =    2897289830.955849
Iteration: 61014   Dual objective     =    2897295803.932703
Iteration: 62157   Dual objective     =    2897300905.096893
Iteration: 63276   Dual objective     =    2897319037.399781
Iteration: 64741   Dual objective     =    2897346780.588558
Iteration: 66172   Dual objective     =    2897401547.061966
Iteration: 67605   Dual objective     =    2897457352.584795
Iteration: 68727   Dual objective     =    2897497355.439354
Iteration: 70211   Dual objective     =    2897563016.450974
Iteration: 71900   Dual objective     =    2897622021.440536
Iteration: 73248   Dual objective     =    2897679512.615873
Iteration: 74215   Dual objective     =    2897680748.243632
Iteration: 74791   Dual objective     =    2897681795.294676
Iteration: 75596   Dual objective     =    2897684398.832083
Iteration: 77220   Dual objective     =    2897708193.385305
Iteration: 78216   Dual objective     =    2897722029.609597
Iteration: 79062   Dual objective     =    2897722535.533831
Iteration: 79833   Dual objective     =    2897722774.265475
Iteration: 81566   Dual objective     =    2897735557.180969
Iteration: 83514   Dual objective     =    2897764996.204585
Iteration: 84825   Dual objective     =    2897779619.241072
Iteration: 86289   Dual objective     =    2897797436.613676
Iteration: 88158   Dual objective     =    2897824422.931149
Iteration: 89146   Dual objective     =    2897837153.390015
Iteration: 90943   Dual objective     =    2897840184.876330
Iteration: 92225   Dual objective     =    2897841780.477604
Iteration: 93577   Dual objective     =    2897843621.367257
Iteration: 95304   Dual objective     =    2897846562.357463
Removing perturbation.
LP status(1): optimal
Cplex Time: 9.91sec (det. 8019.79 ticks)

Optimal solution found.
Objective :  2897846592.962047

--- Restarting execution
--- Balmorel.gms(82473) 148 Mb
--- Reading solution for model BALBASE4
--- Balmorel.gms(82473) 235 Mb
--- GDX Point C:\Users\schoeniger\Documents\Balmorel\Github Aug 2020\Austria Base Github kompatibel\model\BALBASE4_p.gdx
--- Executing after solve: elapsed 0:00:31.329
--- Balmorel.gms(82225) 235 Mb

C:\Users\schoeniger\Documents\Balmorel\Github Aug 2020\Austria Base Github kompatibel\model>move "BALBASE4_p.gdx" "..\output\temp/2030.gdx" 
        1 Datei(en) verschoben.
--- Balmorel.gms(82780) 235 Mb
--- GDX File C:\Users\schoeniger\Documents\Balmorel\Github Aug 2020\Austria Base Github kompatibel\model\../../simex/HYRSG.gdx
--- Balmorel.gms(82781) 235 Mb
--- GDX File C:\Users\schoeniger\Documents\Balmorel\Github Aug 2020\Austria Base Github kompatibel\model\../../simex/VHYRS_SL.gdx
--- Balmorel.gms(82782) 235 Mb
--- GDX File C:\Users\schoeniger\Documents\Balmorel\Github Aug 2020\Austria Base Github kompatibel\model\../../simex/WATERVAL.gdx
--- Balmorel.gms(82795) 235 Mb
--- GDX File C:\Users\schoeniger\Documents\Balmorel\Github Aug 2020\Austria Base Github kompatibel\model\../../simex/XKACCUMNET.gdx
--- Balmorel.gms(82796) 235 Mb
--- GDX File C:\Users\schoeniger\Documents\Balmorel\Github Aug 2020\Austria Base Github kompatibel\model\../../simex/GKACCUMNET.gdx
--- Balmorel.gms(82809) 235 Mb
